courier,usps,scac,servicelvl,chargetype,fixed,threshold,variable,entered_by,lupdate
"Airborne Express",F,"","","",0.00,0.00,0.00,"***",1/18/2001
"Book Rate",T,"","","",0.00,0.00,0.00,"***",7/31/1992
"Express Mail",T,"","","",0.00,0.00,0.00,"***",7/25/1996
"Fed Ex Ground",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"Federal Express",F,"","","",0.00,0.00,0.00,"***",7/30/1992
"First Class Mail",T,"","","",0.00,0.00,0.00,"***",7/25/1996
"Freight Collect",F,"","","",0.00,0.00,0.00,"***",7/25/1996
"Global Priority",T,"","","",0.00,0.00,0.00,"***",7/25/1996
"Media Mail",T,"","","",0.00,0.00,0.00,"***",3/30/2001
"Priority Mail",T,"","","",0.00,0.00,0.00,"***",3/30/2001
"Special Delivery",F,"","","",0.00,0.00,0.00,"***",10/21/1994
"Surface Mail",T,"","","",0.00,0.00,0.00,"***",7/25/1996
"Truck",F,"","","",0.00,0.00,0.00,"***",3/30/2001
"U.S. Postal Service",T,"","","",0.00,0.00,0.00,"RWL",11/1/2001
"UPS 2nd Day Air",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS 2nd Day Air AM",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS 3 Day Select",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS Collect",F,"","","",0.00,0.00,0.00,"***",7/25/1996
"UPS Consignee",F,"","","",0.00,0.00,0.00,"***",7/25/1996
"UPS Ground",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS Next Day Air",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS Next Day Air Early AM",F,"","","",0.00,0.00,0.00,"***",10/18/2001
"UPS Next Day Air Saver",F,"","","",0.00,0.00,0.00,"***",10/29/2001
"Unspecified",F,"","","",0.00,0.00,0.00,"***",11/4/1992
